subj,CC,II,CI,IC,gaze-200-match,gaze-200-mismatch,Gaze-SOA-600,CC,II,CI,IC,gaze-600-match,gaze-600-mismatch,Gaze-SOA-1000,CC,II,CI,IC,gaze-1000-match,gaze-1000-mismatch,Arrow-SOA-200,CC,II,CI,IC,arrow-200-match,arrow-200-mismatch,Arrow-SOA-600,CC,II,CI,IC,arrow-600-match,arrow-600-mismatch,Arrow-SOA-1000,CC,II,CI,IC,arrow-1000-match,arrow-1000-mismatch,subjAge,subjHandedness,subjSex
42,0.346984,0.338832,0.323766,0.329611,-0.008152,0.005845,,0.297527,0.294345,0.279318,0.304496,-0.003182,0.025178,,0.309512,0.296909,0.298405,0.316188,-0.012603,0.017783,,0.32049,0.350451,0.333713,0.325769,0.029961,-0.007944,,0.331015,0.305456,0.319614,0.289584,-0.025559,-0.03003,,0.290192,0.320391,0.322045,0.310735,0.030199,-0.01131,18.29589,left,male
43,0.395805,0.412201,0.409924,0.415078,0.016396,0.005154,,0.361431,0.377829,0.361932,0.379862,0.016398,0.01793,,0.414208,0.408373,0.391589,0.408673,-0.005835,0.017084,,0.384093,0.410095,0.38323,0.399984,0.026002,0.016754,,0.328404,0.369867,0.401662,0.367327,0.041463,-0.034335,,0.398104,0.399171,0.400002,0.415931,0.001067,0.015929,18.410959,right,male
44,0.358036,0.369003,0.350449,0.369826,0.010967,0.019377,,0.304576,0.327521,0.33376,0.321355,0.022945,-0.012405,,0.332969,0.335427,0.369008,0.361419,0.002458,-0.007589,,0.375189,0.389144,0.379877,0.374305,0.013955,-0.005572,,0.35225,0.373357,0.344262,0.363944,0.021107,0.019682,,0.332913,0.363153,0.380711,0.355915,0.03024,-0.024796,18.175342,right,female
45,0.412553,0.431004,0.405,0.433551,0.018451,0.028551,,0.366459,0.377781,0.36479,0.404487,0.011322,0.039697,,0.366497,0.399138,0.386615,0.386575,0.032641,-4E-05,,0.368092,0.385726,0.351322,0.376893,0.017634,0.025571,,0.343375,0.380722,0.361019,0.39633,0.037347,0.035311,,0.366329,0.373223,0.365651,0.368971,0.006894,0.00332,18.575342,right,female
46,0.682159,0.633803,0.67241,0.73606,-0.048356,0.06365,,0.680417,0.61516,0.606181,0.627939,-0.065257,0.021758,,0.598052,0.57312,0.65897,0.541637,-0.024932,-0.117333,,0.609006,0.702534,0.622077,0.669086,0.093528,0.047009,,0.587773,0.6464,0.644735,0.676575,0.058627,0.03184,,0.677415,0.562616,0.583552,0.675733,-0.114799,0.092181,18.791781,right,female
47,0.342144,0.369793,0.35724,0.353018,0.027649,-0.004222,,0.315373,0.325205,0.330389,0.327063,0.009832,-0.003326,,0.320358,0.358388,0.326632,0.376924,0.03803,0.050292,,0.348867,0.367286,0.364572,0.368133,0.018419,0.003561,,0.335476,0.363737,0.356626,0.353909,0.028261,-0.002717,,0.344657,0.319569,0.341336,0.377364,-0.025088,0.036028,18.583562,right,female
48,0.385723,0.37063,0.358423,0.406066,-0.015093,0.047643,,0.391911,0.379847,0.377771,0.351328,-0.012064,-0.026443,,0.35502,0.380448,0.361937,0.389453,0.025428,0.027516,,0.424274,0.359743,0.373385,0.377803,-0.064531,0.004418,,0.418453,0.381289,0.430728,0.392671,-0.037164,-0.038057,,0.442576,0.409938,0.405148,0.382592,-0.032638,-0.022556,18.276712,right,female
49,0.394969,0.43337,0.415764,0.416767,0.038401,0.001003,,0.372332,0.388251,0.369832,0.379891,0.015919,0.010059,,0.38405,0.361463,0.369847,0.376523,-0.022587,0.006676,,0.442235,0.429493,0.452782,0.435996,-0.012742,-0.016786,,0.405017,0.42513,0.380717,0.389053,0.020113,0.008336,,0.389292,0.383143,0.405056,0.374049,-0.006149,-0.031007,21.284932,right,female
4,0.425988,0.425995,0.444488,0.429865,7E-06,-0.014623,,0.396368,0.383199,0.373178,0.398303,-0.013169,0.025125,,0.389975,0.396655,0.368112,0.384008,0.00668,0.015896,,0.403353,0.386646,0.421804,0.398366,-0.016707,-0.023438,,0.381331,0.366481,0.399851,0.340843,-0.01485,-0.059008,,0.382257,0.386567,0.360566,0.414288,0.00431,0.053722,18.183562,right,male
50,0.325757,0.345504,0.363684,0.334551,0.019747,-0.029133,,0.324573,0.33809,0.340512,0.345182,0.013517,0.00467,,0.332642,0.344218,0.35729,0.334544,0.011576,-0.022746,,0.353051,0.336388,0.348873,0.340399,-0.016663,-0.008474,,0.322876,0.339915,0.326122,0.350544,0.017039,0.024422,,0.358365,0.348686,0.331014,0.346354,-0.009679,0.01534,18.791781,right,male
51,0.444471,0.43021,0.40517,0.430229,-0.014261,0.025059,,0.395808,0.41485,0.399151,0.431832,0.019042,0.032681,,0.408664,0.432475,0.406677,0.384857,0.023811,-0.02182,,0.412575,0.43603,0.41344,0.434371,0.023455,0.020931,,0.389939,0.394176,0.401649,0.413685,0.004237,0.012036,,0.412759,0.393314,0.421779,0.402539,-0.019445,-0.01924,18.734247,right,male
52,0.502237,0.514006,0.532423,0.518113,0.011769,-0.01431,,0.417548,0.43077,0.436853,0.411705,0.013222,-0.025148,,0.413938,0.462089,0.428111,0.427645,0.048151,-0.000466,,0.527371,0.49341,0.473772,0.525152,-0.033961,0.05138,,0.423491,0.465405,0.450289,0.511483,0.041914,0.061194,,0.436028,0.460221,0.426328,0.462839,0.024193,0.036511,18.857534,left,female
